"","party","HR333.BankruptcyOverhaul.Yes","SJRes6.ErgonomicsRuleDisapproval.No","HR3.IncomeTaxReduction.No","HR6.MarriageTaxReduction.Yes","HR8.EstateTaxRelief.Yes","HR503.FetalProtection.No","HR1.SchoolVouchers.No","HR1836.TaxCutReconciliationBill.No","HR2356.CampaignFinanceReform.No","HJRes36.FlagDesecration.No","HR7.FaithBasedInitiative.Yes","HJRes50.ChinaNormalizedTradeRelations.Yes","HR4.ANWRDrillingBan.Yes","HR2563.PatientsRightsHMOLiability.No","HR2563.PatientsBillOfRights.No","HR2944.DomesticPartnerBenefits.No","HR2586.USMilitaryPersonnelOverseasAbortions.Yes","HR2975.AntiTerrorismAuthority.No","HR3090.EconomicStimulus.No","HR3000.TradePromotionAuthorityFastTrack.No"
"Abercrombie","D",1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"Ackerman","D",NA,1,NA,1,1,1,1,NA,1,1,1,0,1,1,1,1,1,1,1,1
"Aderholt","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,1
"Akin","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Allen","D",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"Andrews","D",1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
"Armey","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baca","D",1,1,1,1,1,1,1,NA,1,0,1,1,0,1,1,1,1,1,1,1
"Bachus","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baird","D",NA,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
"Baker","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baldacci","D",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"Baldwin","D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Ballenger","R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barcia","D",1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1
"Barr","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Barrett","D",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"Bartlett","R",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"Barton","R",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0
"Bass","R",0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0
"Becerra","D",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"Bentsen","D",0,1,1,1,1,1,1,NA,1,0,1,0,1,1,1,1,1,1,1,0
