        y site variety
1  0.0005    A       1
2  0.0000    A       2
3  0.0000    A       3
4  0.0010    A       4
5  0.0025    A       5
6  0.0005    A       6
7  0.0050    A       7
8  0.0130    A       8
9  0.0150    A       9
10 0.0150    A       X
11 0.0000    B       1
12 0.0005    B       2
13 0.0005    B       3
14 0.0030    B       4
15 0.0075    B       5
16 0.0030    B       6
17 0.0300    B       7
18 0.0750    B       8
19 0.0100    B       9
20 0.1270    B       X
21 0.0125    C       1
22 0.0125    C       2
23 0.0250    C       3
24 0.1660    C       4
25 0.0250    C       5
26 0.0250    C       6
27 0.0000    C       7
28 0.2000    C       8
29 0.3750    C       9
30 0.2625    C       X
31 0.0250    D       1
32 0.0050    D       2
33 0.0001    D       3
34 0.0300    D       4
35 0.0250    D       5
36 0.0001    D       6
37 0.2500    D       7
38 0.5500    D       8
39 0.0500    D       9
40 0.4000    D       X
41 0.0550    E       1
42 0.0100    E       2
43 0.0600    E       3
44 0.0110    E       4
45 0.0250    E       5
46 0.0800    E       6
47 0.1650    E       7
48 0.2950    E       8
49 0.2000    E       9
50 0.4350    E       X
51 0.0100    F       1
52 0.0500    F       2
53 0.0500    F       3
54 0.0500    F       4
55 0.0500    F       5
56 0.0500    F       6
57 0.1000    F       7
58 0.0500    F       8
59 0.5000    F       9
60 0.7500    F       X
61 0.0500    G       1
62 0.0010    G       2
63 0.0500    G       3
64 0.0500    G       4
65 0.5000    G       5
66 0.1000    G       6
67 0.5000    G       7
68 0.2500    G       8
69 0.5000    G       9
70 0.7500    G      10
71 0.0500    H       1
72 0.1000    H       2
73 0.0500    H       3
74 0.0500    H       4
75 0.2500    H       5
76 0.7500    H       6
77 0.5000    H       7
78 0.7500    H       8
79 0.7500    H       9
80 0.7500    H       X
81 0.1750    I       1
82 0.2500    I       2
83 0.4250    I       3
84 0.5000    I       4
85 0.3750    I       5
86 0.9500    I       6
87 0.6250    I       7
88 0.9500    I       8
89 0.9500    I       9
90 0.9500    I       X
