    MCFM FCFF MOPLM FOPLF AGEM MRMM FRMF MWORK MFCM FFCF
1   1.73 2.36     1     6    1    0    0     1    1    1
2   3.45 3.64     2     4    1    0    0     1    1    1
3   3.50 3.73     6     7    1    0    0     0    1    1
4   4.64 2.82     1     4    1    0    0     0    0    0
5   4.82 5.45     1     2    0    1    0     1    1    1
6   4.36 4.27     2     1    1    0    1     1    1    0
7   2.09 2.18     6     7    0    0    0     1    1    1
8   4.64 4.00     1     1    1    0    1     0    0    0
9   4.36 3.64     2     2    0    0    1     0    1    1
10  4.45 3.82     2     4    1    1    0     0    1    1
11  4.73 4.82     1     1    0    1    1     0    1    0
12  4.55 4.00     2     2    0    1    0     0    0    0
13  4.00 4.09     2     3    1    0    0     0    1    1
14  5.09 4.82     5     6    0    0    1     1    1    0
15  3.64 3.45     2     6    1    1    1     0    1    1
16  3.73 5.00     2     3    0    0    1     1    0    0
17  4.64 5.09     1     3    1    0    0     1    0    1
18  2.73 2.64     4     4    0    0    0     1    1    0
19  4.27 5.91     1     1    0    1    1     0    1    0
20  5.18 5.55     2     6    1    1    1     0    0    0
21  3.27 4.45     4     6    1    0    1     1    0    0
22  5.09 5.55     3     2    0    1    1     0    1    1
23  5.36 5.82     1     4    1    1    1     0    1    1
24  5.55 5.55     2     2    0    1    1     1    1    0
25  5.45 5.27     2     2    1    1    1     0    0    0
26  5.09 4.18     4     3    1    0    0     1    0    1
27  3.36 5.27     4     2    1    0    1     1    1    0
28  3.09 4.36     3     3    1    1    1     0    0    0
29  4.36 4.45     1     3    0    0    0     1    0    1
30  4.36 4.82     2     3    1    0    0     1    0    1
31  5.45 3.91     3     3    0    1    1     0    1    1
32  4.82 5.55     2     1    1    0    1     0    1    1
33  5.64 4.73     1     2    0    0    0     1    1    0
34  2.73 4.09     2     5    1    0    0     0    1    1
35  3.91 3.64     4     1    1    0    0     1    0    1
36  4.55 5.00     2     1    1    1    0     0    0    1
37  3.55 2.91     3     6    0    1    0     0    0    0
38  3.45 5.36     2     3    1    1    1     0    0    0
39  6.36 5.64     4     2    1    1    0     1    0    0
40  4.27 3.27     6     7    0    1    0     0    0    0
41  4.27 3.45     1     4    0    0    1     0    0    1
42  5.45 3.73     4     4    0    1    1     0    1    1
43  4.00 4.09     2     3    1    0    0     0    1    0
44  3.55 5.36     1     4    0    1    1     0    0    1
45  2.64 4.36     5     5    0    0    0     1    0    0
46  4.55 4.55     3     2    0    0    0     0    1    1
47  4.18 5.18     2     3    0    1    1     0    1    0
48  2.36 3.18     4     2    1    0    0     0    0    1
49  5.45 3.91     4     3    1    1    1     1    0    1
50  3.91 5.09     2     4    0    1    1     0    0    0
51  3.91 4.82     7     7    1    0    0     1    1    1
52  5.00 6.18     6     6    1    0    1     0    1    1
53  4.36 5.00     3     3    0    1    1     0    1    1
54  4.55 2.73     4     6    1    0    0     1    1    1
55  4.73 4.45     4     4    0    0    0     1    1    0
56  5.18 4.45     3     3    0    1    1     1    1    0
57  3.18 3.55     3     3    1    0    1     0    1    1
58  4.55 4.55     2     2    0    1    0     0    0    0
59  2.36 3.00     3     6    0    0    1     0    0    0
60  5.45 3.91     4     4    1    0    0     1    0    1
61  4.64 5.45     3     6    0    1    1     0    0    0
62  3.91 3.09     3     3    1    1    0     1    1    1
63  3.82 3.18     2     2    1    0    1     0    1    0
64  4.55 5.00     2     2    1    0    1     1    1    1
65  2.90 3.27     2     4    0    0    0     0    1    0
66  3.00 2.64     4     5    0    0    0     1    0    1
67  3.73 3.64     7     7    0    0    0     1    1    1
68  6.55 5.18     2     2    0    1    1     0    0    0
69  3.64 4.00     4     7    0    1    1     1    1    0
70  3.55 4.64     5     4    0    0    0     1    0    0
71  2.45 3.73     4     3    1    0    1     0    1    1
72  4.55 4.00     4     3    0    1    1     1    1    0
73  4.64 4.00     6     3    1    0    0     0    1    1
74  3.82 4.91     4     4    0    1    0     1    0    0
75  2.55 2.82     5     5    0    1    0     0    1    1
76  6.73 4.36     1     2    0    1    0     1    0    1
77  3.55 5.27     1     3    0    0    1     1    0    0
78  2.18 2.64     6     7    0    0    0     1    0    0
79  5.00 4.27     3     2    1    0    0     1    1    1
80  4.18 4.18     2     2    1    0    0     1    0    0
81  3.27 4.91     4     7    0    0    0     0    1    1
82  3.27 2.73     6     7    0    0    0     1    1    1
83  5.50 3.64     3     4    1    0    0     1    0    1
84  3.91 3.27     1     2    1    1    0     0    0    1
85  5.00 4.82     1     4    0    1    1     0    1    1
86  3.00 4.82     7     7    0    0    0     1    0    0
87  4.00 3.18     1     3    0    1    0     0    0    1
88  4.82 4.55     3     3    0    0    0     1    1    1
89  4.36 4.82     3     2    0    1    1     0    0    0
90  4.36 3.36     3     6    0    1    0     1    0    0
91  4.64 4.82     5     2    1    0    0     1    1    1
92  5.64 5.09     2     6    0    1    1     0    1    1
93  4.27 3.18     1     5    0    0    0     0    1    0
94  4.36 3.45     1     4    0    1    1     1    0    0
95  5.09 3.27     2     2    1    0    0     0    1    0
96  3.36 3.00     2     3    0    1    0     1    1    1
97  5.27 3.80     3     6    0    0    0     0    1    0
98  4.82 4.36     2     1    1    0    1     1    1    0
99  5.45 3.18     6     7    0    0    1     1    1    1
100 2.82 4.09     2     2    1    1    1     1    1    0
101 4.27 4.00     3     4    0    1    1     1    1    1
102 4.27 6.27     1     2    1    0    1     1    1    1
103 4.30 3.91     2     3    0    0    1     0    0    1
104 3.67 4.18     2     2    1    0    0     0    0    0
105 5.00 4.27     4     4    1    1    1     1    1    1
106 4.18 5.64     2     2    0    0    0     0    1    1
107 3.73 3.50     4     3    1    1    1     0    0    0
108 3.45 4.91     3     6    1    0    0     1    0    0
109 4.09 2.73     2     5    0    1    1     0    1    1
110 5.91 4.27     1     3    1    1    1     1    0    1
111 4.36 3.55     4     4    0    1    1     1    0    0
112 3.55 4.09     4     5    1    0    0     1    0    0
113 4.55 4.82     4     3    1    1    1     0    0    0
114 6.18 6.09     3     2    0    1    1     0    1    1
115 3.50 4.00     4     5    0    0    0     0    1    0
116 4.36 4.64     3     4    0    1    0     1    1    0
117 3.27 4.82     2     5    0    0    0     1    1    1
118 3.64 3.27     5     7    0    0    0     0    1    1
119 5.91 4.91     3     7    1    1    1     0    0    0
120 2.91 3.45     3     2    0    1    0     0    0    1
121 4.00 3.64     2     1    1    0    0     1    1    1
122 4.45 4.55     2     2    1    1    1     1    1    1
123 4.09 4.00     2     2    0    0    1     1    1    1
124 3.00 2.91     3     2    0    1    1     1    0    1
125 4.36 5.00     3     3    0    0    0     0    1    1
126 4.18 5.00     2     2    0    0    0     0    0    1
