"height","year","genotype"
81,1974,1
72.3,1974,2
79.3,1974,3
88.5,1974,4
78.5,1974,5
89.3,1974,6
94.3,1974,7
88.8,1974,8
91.3,1974,9
91.8,1974,10
86,1974,11
91,1974,12
75.5,1974,13
96.8,1974,14
97,1974,15
67.3,1975,1
60.3,1975,2
67.8,1975,3
70.8,1975,4
67.5,1975,5
74.5,1975,6
73,1975,7
63.8,1975,8
67,1975,9
65.5,1975,10
69.8,1975,11
71.8,1975,12
56.5,1975,13
81.5,1975,14
83.3,1975,15
71.5,1976,1
60.8,1976,2
64.8,1976,3
76.3,1976,4
72.5,1976,5
80.5,1976,6
80.3,1976,7
66.8,1976,8
73.8,1976,9
77,1976,10
73.8,1976,11
81,1976,12
67,1976,13
86.3,1976,14
86.8,1976,15
64.3,1977,1
55.3,1977,2
57.5,1977,3
69.5,1977,4
61,1977,5
67.8,1977,6
68.5,1977,7
78.5,1977,8
75.8,1977,9
80,1977,10
77.3,1977,11
65.5,1977,12
64.3,1977,13
73.3,1977,14
72,1977,15
55.8,1978,1
48.8,1978,2
46.8,1978,3
64,1978,4
50.3,1978,5
60.8,1978,6
63.8,1978,7
70.3,1978,8
71.5,1978,9
73.5,1978,10
75.5,1978,11
54.5,1978,12
58.8,1978,13
59.3,1978,14
49.3,1978,15
84.9,1979,1
78.1,1979,2
80.2,1979,3
90.8,1979,4
78.7,1979,5
86.3,1979,6
96,1979,7
86.1,1979,8
90.5,1979,9
88,1979,10
88.8,1979,11
87.9,1979,12
86.7,1979,13
97,1979,14
91.3,1979,15
86.2,1980,1
80.4,1980,2
81.8,1980,3
97.3,1980,4
82.7,1980,5
90.2,1980,6
100.7,1980,7
104.3,1980,8
100.6,1980,9
104.7,1980,10
106.4,1980,11
84.8,1980,12
85.2,1980,13
96.1,1980,14
94.6,1980,15
88,1981,1
85.3,1981,2
87.8,1981,3
97.8,1981,4
87.3,1981,5
100,1981,6
106.5,1981,7
102,1981,8
102.8,1981,9
102,1981,10
103.8,1981,11
91.8,1981,12
91.8,1981,13
95.8,1981,14
95.5,1981,15
72,1982,1
69.8,1982,2
71.8,1982,3
86,1982,4
66,1982,5
81.3,1982,6
85.3,1982,7
82.5,1982,8
86.3,1982,9
87.3,1982,10
86.8,1982,11
77.8,1982,12
76,1982,13
90.3,1982,14
80.8,1982,15
